       0                       1
0   100157                  100157
1   100157                  364207
2   100157                   38848
3   100157  bradshaw97introduction
4   100157    bylund99coordinating
5   100157          dix01metaagent
6   100157           gray99finding
7   100157   labrou01standardizing
8   100157           labrou99agent
9   100157        nodine98overview
10  100157          nodine99active
11  100157      wagner97artificial
12  100598                  455651
13  100598        marquez00machine
14  100598         punyakanok01use
15  101570      krasnogor00memetic
16   10227                  131669
17   10227     sima00computational
18   10227     sima01computational
19  103027                  140169
20  105684         weiss00building
